duchodovou metodou

1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013

672776	868228	974694	1195811	1364823	1580115	1812622	1953311	2142587	2237300	2372630	2562679	2674634	2801163	3057660	3257972	3507131	3831819	4015346	3921827	3953651	4022410	4047675	4086260





M000102a Produkce podle odvětví (běžné ceny)
http://apl.czso.cz/pll/rocenka/rocenkavyber.makroek_prod

mil. Kč
NACE

1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
CELKEM	1500024	2111755	2354261	2674717	2956210	3448190	3889731	4323910	4693317	4837244	5295529	5752764	5944170	6402789	7035158	7474608	8358377	9223289	9603919	8849287	9258166	9682660	9626604	9618077
A Zemědělství, lesnictví a rybářství	138872	151969	124069	127654	129344	143297	155568	158186	166141	162765	172160	179698	163111	159525	170419	167658	175141	195750	202495	175216	175264	230889	238728	245749
B Těžba a dobývání	44138	57291	59914	51542	51559	62177	65681	67038	66045	60162	60000	64575	65476	64569	69510	72516	81266	91514	103653	86859	88832	93048	88693	78622
C Zpracovatelský průmysl	651246	918370	897590	886354	939867	1160905	1292904	1497315	1653398	1665862	1880759	2099545	2087359	2240615	2612638	2821709	3189134	3494260	3501598	2943456	3247096	3533963	3584825	3600822
D Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu	33466	80108	135915	147277	159730	151672	178245	190521	192574	202373	204590	239704	246111	262079	272519	278513	358089	353308	390655	386020	382707	421426	430128	444584
E Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi	9568	14701	21361	29656	33804	32123	40641	44325	48414	51869	54892	56263	62557	66223	79030	79712	90317	97514	105456	99412	109723	120103	117118	115980
F Stavebnictví	104743	151965	177835	237178	281540	349279	408860	434607	457686	462091	470156	495155	530323	580637	615088	658390	751712	889077	914816	846548	836486	799469	727691	689537
G Velkoobchod a maloobchod; opravy a údržba motorových vozidel	122622	176125	215864	260997	287095	313792	347913	368240	394012	417911	490557	509200	546948	580070	627910	639867	717896	759953	797352	759658	817506	851522	830612	818970
H Doprava a skladování	57406	81365	108483	143924	165129	200320	226299	251092	266988	284280	310211	342177	344894	388559	417495	436010	480060	548652	571351	527202	555293	560600	560776	562673
I Ubytování, stravování a pohostinství	14092	29063	40647	56312	67920	83826	97429	105384	117359	116289	122445	121337	122237	130048	134885	136945	149749	175416	175803	166430	156241	159262	155485	159245
J Informační a komunikační činnosti	15133	24539	37753	54437	65427	89687	114920	144221	154623	167245	191600	210112	221454	236714	249354	279096	313885	340478	350676	359127	354741	357596	353843	344838
K Peněžnictví a pojišťovnictví	21672	40648	55085	75388	89550	95116	111064	120813	148922	149463	146586	164256	162863	182838	198924	219172	237262	272743	291003	296834	315162	313448	314255	324997
L Činnosti v oblasti nemovitostí	94427	112686	118110	128055	138546	160731	176965	204920	236788	265690	306436	317823	330630	348720	381119	406319	440606	484516	565692	577620	608797	617480	624126	613787
M Profesní, vědecké a technické činnosti	36147	60550	88424	126844	134291	146401	163653	182293	205187	211784	232860	250778	281999	314741	319189	347306	365549	437509	488192	455632	458800	462902	456974	458223
N Administrativní a podpůrné činnosti	15145	25826	37692	52428	56376	67926	76798	82179	83846	84459	87673	98112	105442	112185	122735	128625	144316	174585	188105	181298	164323	172314	170108	171363
O Veřejná správa a obrana; povinné sociální zabezpečení	50123	69105	93899	129134	150395	151775	169818	189512	200072	214671	221113	233678	271869	293766	303637	316827	334490	346803	365249	375213	371350	355952	345495	353776
P Vzdělávání	25636	35123	46952	60267	71028	80667	88448	90131	94549	100955	107465	119371	131148	148072	150479	161033	172946	183464	192681	200193	201332	205859	205934	211313
Q Zdravotní a sociální péče	35962	44465	52321	64067	79253	89414	97816	105772	111973	117313	122650	133265	147905	159726	167026	180089	192320	209097	225896	243034	245529	253056	254161	253253
R Kulturní, zábavní a rekreační činnosti	11318	14781	16894	22187	27865	32057	36528	44117	44730	49051	59420	63572	62198	69343	75463	77594	89822	92095	97775	96718	93102	95956	90849	91702
S Ostatní činnosti	18193	22900	25229	20814	27285	36683	39723	42687	49357	52288	53178	53180	58495	63061	66390	65754	72215	74882	73326	70046	73261	75245	73935	75765
T Činnosti domácností jako zaměstnavatelů a producentů pro vlastní potřebu	115	175	224	202	206	342	458	557	653	723	778	963	1151	1298	1348	1473	1602	1673	2145	2771	2621	2570	2868	2878
